source,text,created_at,retweet_count,is_retweet,id_str,"Sentiment - (1 for pos, -1 for neg)",text_cleaned
Twitter for iPhone,"Billions of dollars are, and will be, coming into United States coffers because of Tariffs. Great also for negotiations - if a country won’t give us a fair Trade Deal, we will institute Tariffs on them. Used or not, jobs and businesses will be created. U.S. respected again!",10/23/18 16:43,23720,False,1.05e+18,-1,"Billions of dollars are, and will be, coming into United States coffers because of Tariffs. Great also for negotiations - if a country won’t give us a fair Trade Deal, we will institute Tariffs on them. Used or not, jobs and businesses will be created. U.S. respected again!"
Twitter for iPhone,Prime Minister @AbeShinzo of Japan has been working with me to help balance out the one-sided Trade with Japan. These are some of the investments they are making in our Country - just the beginning! https://t.co/ib2yB3Akkt,10/18/18 23:49,14297,False,1.05e+18,1,Prime Minister  of Japan has been working with me to help balance out the one-sided Trade with Japan. These are some of the investments they are making in our Country - just the beginning! 
Twitter for iPhone,"....The assault on our country at our Southern Border, including the Criminal elements and DRUGS pouring in, is far more important to me, as President, than Trade or the USMCA. Hopefully Mexico will stop this onslaught at their Northern Border. All Democrats fault for weak laws!",10/18/18 11:45,24225,False,1.05e+18,-1,"....The assault on our country at our Southern Border, including the Criminal elements and DRUGS pouring in, is far more important to me, as President, than Trade or the USMCA. Hopefully Mexico will stop this onslaught at their Northern Border. All Democrats fault for weak laws!"
Twitter for iPhone,"Thank you to Congressman Tom Reed of New York for your wonderful comments on our great new Trade Deal with Mexico and Canada, the USMCA. I have long ago given you my Full Endorsement, and for good reason. Keep up the Great Work! @Varneyco",10/3/18 14:02,9885,False,1.05e+18,1,"Thank you to Congressman Tom Reed of New York for your wonderful comments on our great new Trade Deal with Mexico and Canada, the USMCA. I have long ago given you my Full Endorsement, and for good reason. Keep up the Great Work! "
Twitter for iPhone,"The Stock Market just reached an All-Time High during my Administration for the 102nd Time, a presidential record, by far, for less than two years. So much potential as Trade and Military Deals are completed.",10/3/18 13:04,20538,False,1.05e+18,1,"The Stock Market just reached an All-Time High during my Administration for the 102nd Time, a presidential record, by far, for less than two years. So much potential as Trade and Military Deals are completed."
Twitter for iPhone,Great reviews on the new USMCA. Thank you! Mexico and Canada will be wonderful partners in Trade (and more) long into the future.,10/2/18 15:02,15267,False,1.05e+18,1,Great reviews on the new USMCA. Thank you! Mexico and Canada will be wonderful partners in Trade (and more) long into the future.
Twitter for iPhone,".....deficiencies and mistakes in NAFTA, greatly opens markets to our Farmers and Manufacturers, reduce Trade Barriers to the U.S. and will bring all three Great Nations closer together in competition with the rest of the world. The USMCA is a historic transaction!",10/1/18 10:40,1921,False,1.05e+18,1,".....deficiencies and mistakes in NAFTA, greatly opens markets to our Farmers and Manufacturers, reduce Trade Barriers to the U.S. and will bring all three Great Nations closer together in competition with the rest of the world. The USMCA is a historic transaction!"
Twitter for iPhone,"Late last night, our deadline, we reached a wonderful new Trade Deal with Canada, to be added into the deal already reached with Mexico. The new name will be The United States Mexico Canada Agreement, or USMCA. It is a great deal for all three countries, solves the many......",10/1/18 10:30,29266,False,1.05e+18,1,"Late last night, our deadline, we reached a wonderful new Trade Deal with Canada, to be added into the deal already reached with Mexico. The new name will be The United States Mexico Canada Agreement, or USMCA. It is a great deal for all three countries, solves the many......"
Twitter for iPhone,"China is actually placing propaganda ads in the Des Moines Register and other papers, made to look like news. That’s because we are beating them on Trade, opening markets, and the farmers will make a fortune when this is over! https://t.co/ppdvTX7oz1",9/26/18 17:26,19745,False,1.05e+18,-1,"China is actually placing propaganda ads in the Des Moines Register and other papers, made to look like news. That’s because we are beating them on Trade, opening markets, and the farmers will make a fortune when this is over! "
Twitter for iPhone,Joint Statement on the United States-Korea Free Trade Agreement: https://t.co/m0jW8nqdQW https://t.co/lcrhsJtv00,9/24/18 21:46,8909,False,1.04e+18,1,Joint Statement on the United States-Korea Free Trade Agreement:  
Twitter for iPhone,US-Korea Free Trade Agreement Signing Ceremony! https://t.co/yLFkAZgagG,9/24/18 20:44,14143,False,1.04e+18,1,US-Korea Free Trade Agreement Signing Ceremony! 
Twitter for iPhone,"Going to New York. Will be with Prime Minister Abe of Japan tonight, talking Military and Trade. We have done much to help Japan, would like to see more of a reciprocal relationship. It will all work out!",9/23/18 20:52,18634,False,1.04e+18,1,"Going to New York. Will be with Prime Minister Abe of Japan tonight, talking Military and Trade. We have done much to help Japan, would like to see more of a reciprocal relationship. It will all work out!"
Twitter for iPhone,".....China has been taking advantage of the United States on Trade for many years. They also know that I am the one that knows how to stop it. There will be great and fast economic retaliation against China if our farmers, ranchers and/or industrial workers are targeted!",9/18/18 12:55,16569,False,1.04e+18,-1,".....China has been taking advantage of the United States on Trade for many years. They also know that I am the one that knows how to stop it. There will be great and fast economic retaliation against China if our farmers, ranchers and/or industrial workers are targeted!"
Twitter for iPhone,"China has openly stated that they are actively trying to impact and change our election by attacking our farmers, ranchers and industrial workers because of their loyalty to me. What China does not understand is that these people are great patriots and fully understand that.....",9/18/18 12:50,20397,False,1.04e+18,-1,"China has openly stated that they are actively trying to impact and change our election by attacking our farmers, ranchers and industrial workers because of their loyalty to me. What China does not understand is that these people are great patriots and fully understand that....."
Twitter for iPhone,"The Wall Street Journal has it wrong, we are under no pressure to make a deal with China, they are under pressure to make a deal with us. Our markets are surging, theirs are collapsing. We will soon be taking in Billions in Tariffs &amp; making products at home. If we meet, we meet?",9/13/18 14:15,23038,False,1.04e+18,-1,"The Wall Street Journal has it wrong, we are under no pressure to make a deal with China, they are under pressure to make a deal with us. Our markets are surging, theirs are collapsing. We will soon be taking in Billions in Tariffs &amp; making products at home. If we meet, we meet?"
Twitter for iPhone,"If the U.S. sells a car into China, there is a tax of 25%. If China sells a car into the U.S., there is a tax of 2%. Does anybody think that is FAIR? The days of the U.S. being ripped-off by other nations is OVER!",9/9/18 14:01,32757,False,1.04e+18,-1,"If the U.S. sells a car into China, there is a tax of 25%. If China sells a car into the U.S., there is a tax of 2%. Does anybody think that is FAIR? The days of the U.S. being ripped-off by other nations is OVER!"
Twitter for iPhone,"Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax, and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! #MAGA",9/8/18 15:45,28281,False,1.04e+18,-1,"Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax, and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! MAGA"
Twitter for iPhone,"Dave Hughes is running for Congress in the Great State of Minnesota. He will help us accomplish our America First policies, is strong on Crime, the Border, our 2nd Amendmen, Trade, Military and Vets. Running against Pelosi Liberal Puppet Petterson. Dave has my Total Endorsement!",9/8/18 14:44,16085,False,1.04e+18,-1,"Dave Hughes is running for Congress in the Great State of Minnesota. He will help us accomplish our America First policies, is strong on Crime, the Border, our 2nd Amendmen, Trade, Military and Vets. Running against Pelosi Liberal Puppet Petterson. Dave has my Total Endorsement!"
Twitter for iPhone,Happy Labor Day! Our country is doing better than ever before with unemployment setting record lows. The U.S. has tremendous upside potential as we go about fixing some of the worst Trade Deals ever made by any country in the world. Big progress being made!,9/3/18 11:28,27895,False,1.04e+18,-1,Happy Labor Day! Our country is doing better than ever before with unemployment setting record lows. The U.S. has tremendous upside potential as we go about fixing some of the worst Trade Deals ever made by any country in the world. Big progress being made!
Twitter for iPhone,RT @realDonaldTrump: We shouldn’t have to buy our friends with bad Trade Deals and Free Military Protection!,9/2/18 1:23,25470,True,1.04e+18,-1,RT  We shouldn’t have to buy our friends with bad Trade Deals and Free Military Protection!
Twitter for iPhone,We shouldn’t have to buy our friends with bad Trade Deals and Free Military Protection!,9/1/18 22:55,25467,False,1.04e+18,-1,We shouldn’t have to buy our friends with bad Trade Deals and Free Military Protection!
Twitter for iPhone,No Deal! Trade Talks with Canada Conclude for the Week with No Agreement | Breitbart https://t.co/87vi7OqopY via @BreitbartNews,9/1/18 22:51,11956,False,1.04e+18,-1,No Deal! Trade Talks with Canada Conclude for the Week with No Agreement | Breitbart  via 
Twitter for iPhone,"....Remember, NAFTA was one of the WORST Trade Deals ever made. The U.S. lost thousands of businesses and millions of jobs. We were far better off before NAFTA - should never have been signed. Even the Vat Tax was not accounted for. We make new deal or go back to pre-NAFTA!",9/1/18 15:12,19907,False,1.04e+18,-1,"....Remember, NAFTA was one of the WORST Trade Deals ever made. The U.S. lost thousands of businesses and millions of jobs. We were far better off before NAFTA - should never have been signed. Even the Vat Tax was not accounted for. We make new deal or go back to pre-NAFTA!"
Twitter for iPhone,"...of money on joint U.S.-South Korea war games. Besides, the President can instantly start the joint exercises again with South Korea, and Japan, if he so chooses. If he does, they will be far bigger than ever before. As for the U.S.–China trade disputes, and other...",8/29/18 21:23,10310,False,1.03e+18,1,"...of money on joint U.S.-South Korea war games. Besides, the President can instantly start the joint exercises again with South Korea, and Japan, if he so chooses. If he does, they will be far bigger than ever before. As for the U.S.–China trade disputes, and other..."
Twitter for iPhone,"...differences, they will be resolved in time by President Trump and China’s great President Xi Jinping. Their relationship and bond remain very strong.",8/29/18 21:23,10749,False,1.03e+18,1,"...differences, they will be resolved in time by President Trump and China’s great President Xi Jinping. Their relationship and bond remain very strong."
Twitter for iPhone,"STATEMENT FROM THE WHITE HOUSEPresident Donald J. Trump feels strongly that North Korea is under tremendous pressure from China because of our major trade disputes with the Chinese Government. At the same time, we also know that China is providing North Korea with...",8/29/18 21:23,15918,False,1.03e+18,-1,"STATEMENT FROM THE WHITE HOUSEPresident Donald J. Trump feels strongly that North Korea is under tremendous pressure from China because of our major trade disputes with the Chinese Government. At the same time, we also know that China is providing North Korea with..."
Twitter for iPhone,"Hillary Clinton’s Emails, many of which are Classified Information, got hacked by China. Next move better be by the FBI &amp; DOJ or, after all of their other missteps (Comey, McCabe, Strzok, Page, Ohr, FISA, Dirty Dossier etc.), their credibility will be forever gone!",8/29/18 4:11,31073,False,1.03e+18,-1,"Hillary Clinton’s Emails, many of which are Classified Information, got hacked by China. Next move better be by the FBI &amp; DOJ or, after all of their other missteps (Comey, McCabe, Strzok, Page, Ohr, FISA, Dirty Dossier etc.), their credibility will be forever gone!"
Twitter for iPhone,"Our new Trade Deal with Mexico focuses on FARMERS, GROWTH for our country, tearing down TRADE BARRIERS, JOBS and having companies continue to POUR BACK INTO OUR COUNTRY. It will be a big hit!",8/29/18 2:19,18883,False,1.03e+18,1,"Our new Trade Deal with Mexico focuses on FARMERS, GROWTH for our country, tearing down TRADE BARRIERS, JOBS and having companies continue to POUR BACK INTO OUR COUNTRY. It will be a big hit!"
Twitter for iPhone,"Report just out: “China hacked Hillary Clinton’s private Email Server.” Are they sure it wasn’t Russia (just kidding!)? What are the odds that the FBI and DOJ are right on top of this? Actually, a very big story. Much classified information!",8/29/18 1:16,37264,False,1.03e+18,-1,"Report just out: “China hacked Hillary Clinton’s private Email Server.” Are they sure it wasn’t Russia (just kidding!)? What are the odds that the FBI and DOJ are right on top of this? Actually, a very big story. Much classified information!"
Twitter for iPhone,I smile at Senators and others talking about how good free trade is for the U.S. What they don’t say is that we lose Jobs and over 800 Billion Dollars a year on really dumb Trade Deals....and these same countries Tariff us to death. These lawmakers are just fine with this!,8/28/18 14:21,24056,False,1.03e+18,-1,I smile at Senators and others talking about how good free trade is for the U.S. What they don’t say is that we lose Jobs and over 800 Billion Dollars a year on really dumb Trade Deals....and these same countries Tariff us to death. These lawmakers are just fine with this!
Twitter for iPhone,United States-Mexico Trade Agreement: https://t.co/E1AzveYPli https://t.co/ZYbHt1pD8a,8/27/18 18:11,15849,False,1.03e+18,1,United States-Mexico Trade Agreement:  
Twitter for iPhone,"Our relationship with Mexico is getting closer by the hour. Some really good people within both the new and old government, and all working closely together....A big Trade Agreement with Mexico could be happening soon!",8/25/18 13:22,21779,False,1.03e+18,1,"Our relationship with Mexico is getting closer by the hour. Some really good people within both the new and old government, and all working closely together....A big Trade Agreement with Mexico could be happening soon!"
Twitter for iPhone,"...Secretary Pompeo looks forward to going to North Korea in the near future, most likely after our Trading relationship with China is resolved. In the meantime I would like to send my warmest regards and respect to Chairman Kim. I look forward to seeing him soon!",8/24/18 17:36,12928,False,1.03e+18,1,"...Secretary Pompeo looks forward to going to North Korea in the near future, most likely after our Trading relationship with China is resolved. In the meantime I would like to send my warmest regards and respect to Chairman Kim. I look forward to seeing him soon!"
Twitter for iPhone,"...Additionally, because of our much tougher Trading stance with China, I do not believe they are helping with the process of denuclearization as they once were (despite the UN Sanctions which are in place)...",8/24/18 17:36,11571,False,1.03e+18,-1,"...Additionally, because of our much tougher Trading stance with China, I do not believe they are helping with the process of denuclearization as they once were (despite the UN Sanctions which are in place)..."
Twitter for iPhone,"Target CEO raves about the Economy. “This is the best consumer environment I’ve seen in my career.” A big statement from a top executive. But virtually everybody is saying this, &amp; when our Trade Deals are made, &amp; cost cutting done, you haven’t seen anything yet!  @DRUDGE_REPORT",8/24/18 9:57,17389,False,1.03e+18,1,"Target CEO raves about the Economy. “This is the best consumer environment I’ve seen in my career.” A big statement from a top executive. But virtually everybody is saying this, &amp; when our Trade Deals are made, &amp; cost cutting done, you haven’t seen anything yet!  "
Twitter for iPhone,"It is outrageous that Poisonous Synthetic Heroin Fentanyl comes pouring into the U.S. Postal System from China. We can, and must, END THIS NOW! The Senate should pass the STOP ACT – and firmly STOP this poison from killing our children and destroying our country. No more delay!",8/20/18 17:14,28452,False,1.03e+18,-1,"It is outrageous that Poisonous Synthetic Heroin Fentanyl comes pouring into the U.S. Postal System from China. We can, and must, END THIS NOW! The Senate should pass the STOP ACT – and firmly STOP this poison from killing our children and destroying our country. No more delay!"
Twitter for iPhone,"All of the fools that are so focused on looking only at Russia should start also looking in another direction, China. But in the end, if we are smart, tough and well prepared, we will get along with everyone!",8/18/18 11:46,20696,False,1.03e+18,-1,"All of the fools that are so focused on looking only at Russia should start also looking in another direction, China. But in the end, if we are smart, tough and well prepared, we will get along with everyone!"
Twitter for iPhone,"Our Country was built on Tariffs, and Tariffs are now leading us to great new Trade Deals - as opposed to the horrible and unfair Trade Deals that I inherited as your President. Other Countries should not be allowed to come in and steal the wealth of our great U.S.A. No longer!",8/15/18 15:04,20036,False,1.03e+18,-1,"Our Country was built on Tariffs, and Tariffs are now leading us to great new Trade Deals - as opposed to the horrible and unfair Trade Deals that I inherited as your President. Other Countries should not be allowed to come in and steal the wealth of our great U.S.A. No longer!"
Twitter for iPhone,Tom Fitton of Judicial Watch: “The Strzok firing is as much about the Mueller operation as anything else. There would be no Mueller Special Councel to investigate so called collusion but for the machinations of Strzok &amp; his colleagues at the top levels of the FBI. We know this...,8/14/18 10:59,18871,False,1.03e+18,-1,Tom Fitton of Judicial Watch: “The Strzok firing is as much about the Mueller operation as anything else. There would be no Mueller Special Councel to investigate so called collusion but for the machinations of Strzok &amp; his colleagues at the top levels of the FBI. We know this...
Twitter for iPhone,Deal with Mexico is coming along nicely. Autoworkers and farmers must be taken care of or there will be no deal. New President of Mexico has been an absolute gentleman. Canada must wait. Their Tariffs and Trade Barriers are far too high. Will tax cars if we can’t make a deal!,8/10/18 23:12,24781,False,1.03e+18,1,Deal with Mexico is coming along nicely. Autoworkers and farmers must be taken care of or there will be no deal. New President of Mexico has been an absolute gentleman. Canada must wait. Their Tariffs and Trade Barriers are far too high. Will tax cars if we can’t make a deal!
Twitter for iPhone,"Had a very good phone call with @EmmanuelMacron, President of France. Discussed various subjects, in particular Security and Trade. Many other calls and conversations today. Looking forward to dinner tonight with Tim Cook of Apple. He is investing big dollars in U.S.A.",8/10/18 22:47,16408,False,1.03e+18,1,"Had a very good phone call with  President of France. Discussed various subjects, in particular Security and Trade. Many other calls and conversations today. Looking forward to dinner tonight with Tim Cook of Apple. He is investing big dollars in U.S.A."
Twitter for iPhone,"As long as I campaign and/or support Senate and House candidates (within reason), they will win! I LOVE the people, &amp; they certainly seem to like the job I’m doing. If I find the time, in between China, Iran, the Economy and much more, which I must, we will have a giant Red Wave!",8/8/18 15:25,21445,False,1.03e+18,1,"As long as I campaign and/or support Senate and House candidates (within reason), they will win! I LOVE the people, &amp; they certainly seem to like the job I’m doing. If I find the time, in between China, Iran, the Economy and much more, which I must, we will have a giant Red Wave!"
Twitter for iPhone,"Great financial numbers being announced on an almost daily basis. Economy has never been better, jobs at best point in history. Fixing our terrible Trade Deals is a priority-and going very well. Immigration on Merit Based System to take care of the companies coming back to U.S.A.",8/6/18 14:52,17792,False,1.03e+18,1,"Great financial numbers being announced on an almost daily basis. Economy has never been better, jobs at best point in history. Fixing our terrible Trade Deals is a priority-and going very well. Immigration on Merit Based System to take care of the companies coming back to U.S.A."
Twitter for iPhone,"..Because of Tariffs we will be able to start paying down large amounts of the $21 Trillion in debt that has been accumulated, much by the Obama Administration, while at the same time reducing taxes for our people. At minimum, we will make much better Trade Deals for our country!",8/5/18 12:06,19789,False,1.03e+18,-1,"..Because of Tariffs we will be able to start paying down large amounts of the $21 Trillion in debt that has been accumulated, much by the Obama Administration, while at the same time reducing taxes for our people. At minimum, we will make much better Trade Deals for our country!"
Twitter for iPhone,"....China, which is for the first time doing poorly against us, is spending a fortune on ads and P.R. trying to convince and scare our politicians to fight me on Tariffs- because they are really hurting their economy. Likewise other countries. We are Winning, but must be strong!",8/4/18 20:03,16553,False,1.03e+18,-1,"....China, which is for the first time doing poorly against us, is spending a fortune on ads and P.R. trying to convince and scare our politicians to fight me on Tariffs- because they are really hurting their economy. Likewise other countries. We are Winning, but must be strong!"
Twitter for iPhone,"....Tariffs will make our country much richer than it is today. Only fools would disagree. We are using them to negotiate fair trade deals and, if countries are still unwilling to negotiate, they will pay us vast sums of money in the form of Tariffs. We win either way......",8/4/18 19:58,17819,False,1.03e+18,-1,"....Tariffs will make our country much richer than it is today. Only fools would disagree. We are using them to negotiate fair trade deals and, if countries are still unwilling to negotiate, they will pay us vast sums of money in the form of Tariffs. We win either way......"
Twitter for iPhone,"Tariffs are working far better than anyone ever anticipated. China market has dropped 27% in last 4months, and they are talking to us. Our market is stronger than ever, and will go up dramatically when these horrible Trade Deals are successfully renegotiated. America First.......",8/4/18 19:47,20071,False,1.03e+18,-1,"Tariffs are working far better than anyone ever anticipated. China market has dropped 27% in last 4months, and they are talking to us. Our market is stronger than ever, and will go up dramatically when these horrible Trade Deals are successfully renegotiated. America First......."
Twitter for iPhone,"The globalist Koch Brothers, who have become a total joke in real Republican circles, are against Strong Borders and Powerful Trade. I never sought their support because I don’t need their money or bad ideas. They love my Tax &amp; Regulation Cuts, Judicial picks &amp; more. I made.....",7/31/18 10:14,22095,False,1.02e+18,-1,"The globalist Koch Brothers, who have become a total joke in real Republican circles, are against Strong Borders and Powerful Trade. I never sought their support because I don’t need their money or bad ideas. They love my Tax &amp; Regulation Cuts, Judicial picks &amp; more. I made....."
Twitter for iPhone,"The biggest and best results coming out of the good GDP report was that the quarterly Trade Deficit has been reduced by $52 Billion and, of course, the historically low unemployment numbers, especially for African Americans, Hispanics, Asians and Women.",7/29/18 12:42,21443,False,1.02e+18,1,"The biggest and best results coming out of the good GDP report was that the quarterly Trade Deficit has been reduced by $52 Billion and, of course, the historically low unemployment numbers, especially for African Americans, Hispanics, Asians and Women."
Twitter for iPhone,Great to be back on track with the European Union. This was a big day for free and fair trade!,7/26/18 1:01,21560,False,1.02e+18,1,Great to be back on track with the European Union. This was a big day for free and fair trade!
Twitter for iPhone,"Great meeting on Trade today with @JunckerEU and representatives of the European Union. We have come to a very strong understanding and are all believers in no tariffs, no barriers and no subsidies. Work on documents has already started and the process is moving...",7/25/18 23:42,13051,False,1.02e+18,1,"Great meeting on Trade today with  and representatives of the European Union. We have come to a very strong understanding and are all believers in no tariffs, no barriers and no subsidies. Work on documents has already started and the process is moving..."
Media Studio,The United States and the European Union have a $1 TRILLION bilateral trade relationship – the largest economic relationship in the world. We want to further strengthen this trade relationship to the benefit of all American and European citizens... https://t.co/4zlmEEtCpG,7/25/18 20:57,18450,False,1.02e+18,1,The United States and the European Union have a $1 TRILLION bilateral trade relationship – the largest economic relationship in the world. We want to further strengthen this trade relationship to the benefit of all American and European citizens... 
Twitter for iPhone,"China is targeting our farmers, who they know I love &amp; respect, as a way of getting me to continue allowing them to take advantage of the U.S. They are being vicious in what will be their failed attempt. We were being nice - until now! China made $517 Billion on us last year.",7/25/18 11:20,21332,False,1.02e+18,-1,"China is targeting our farmers, who they know I love &amp; respect, as a way of getting me to continue allowing them to take advantage of the U.S. They are being vicious in what will be their failed attempt. We were being nice - until now! China made $517 Billion on us last year."
Twitter for iPhone,"Every time I see a weak politician asking to stop Trade talks or the use of Tariffs to counter unfair Tariffs, I wonder, what can they be thinking? Are we just going to continue and let our farmers and country get ripped off?  Lost $817 Billion on Trade last year. No weakness!",7/25/18 11:01,21625,False,1.02e+18,-1,"Every time I see a weak politician asking to stop Trade talks or the use of Tariffs to counter unfair Tariffs, I wonder, what can they be thinking? Are we just going to continue and let our farmers and country get ripped off?  Lost $817 Billion on Trade last year. No weakness!"
Twitter for iPhone,"The European Union is coming to Washington tomorrow to negotiate a deal on Trade. I have an idea for them. Both the U.S. and the E.U. drop all Tariffs, Barriers and Subsidies! That would finally be called Free Market and Fair Trade! Hope they do it, we are ready - but they won’t!",7/25/18 0:08,31469,False,1.02e+18,1,"The European Union is coming to Washington tomorrow to negotiate a deal on Trade. I have an idea for them. Both the U.S. and the E.U. drop all Tariffs, Barriers and Subsidies! That would finally be called Free Market and Fair Trade! Hope they do it, we are ready - but they won’t!"
Twitter for iPhone,"Tariffs are the greatest! Either a country which has treated the United States unfairly on Trade negotiates a fair deal, or it gets hit with Tariffs. It’s as simple as that - and everybody’s talking! Remember, we are the “piggy bank” that’s being robbed. All will be Great!",7/24/18 11:29,21582,False,1.02e+18,-1,"Tariffs are the greatest! Either a country which has treated the United States unfairly on Trade negotiates a fair deal, or it gets hit with Tariffs. It’s as simple as that - and everybody’s talking! Remember, we are the “piggy bank” that’s being robbed. All will be Great!"
Twitter for iPhone,"Countries that have treated us unfairly on trade for years are all coming to Washington to negotiate. This should have taken place many years ago but,as the saying goes, better late than never!",7/24/18 11:09,21414,False,1.02e+18,-1,"Countries that have treated us unfairly on trade for years are all coming to Washington to negotiate. This should have taken place many years ago but,as the saying goes, better late than never!"
Twitter for iPhone,Farmers have been on a downward trend for 15 years. The price of soybeans has fallen 50% since 5 years before the Election. A big reason is bad (terrible) Trade Deals with other countries. They put on massive Tariffs and Barriers. Canada charges 275% on Dairy. Farmers will WIN!,7/20/18 13:04,18755,False,1.02e+18,-1,Farmers have been on a downward trend for 15 years. The price of soybeans has fallen 50% since 5 years before the Election. A big reason is bad (terrible) Trade Deals with other countries. They put on massive Tariffs and Barriers. Canada charges 275% on Dairy. Farmers will WIN!
Twitter for iPhone,....The United States should not be penalized because we are doing so well. Tightening now hurts all that we have done. The U.S. should be allowed to recapture what was lost due to illegal currency manipulation and BAD Trade Deals. Debt coming due &amp; we are raising rates - Really?,7/20/18 12:51,20108,False,1.02e+18,-1,....The United States should not be penalized because we are doing so well. Tightening now hurts all that we have done. The U.S. should be allowed to recapture what was lost due to illegal currency manipulation and BAD Trade Deals. Debt coming due &amp; we are raising rates - Really?
